@RELATION student_dataset

@ATTRIBUTE study_hours NUMERIC
@ATTRIBUTE attendance NUMERIC
@ATTRIBUTE passed NUMERIC

@DATA
2.7,66.0,0.0
1.2,62.0,0.0
1.2,84.0,0.0
1.9,97.0,1.0
2.8,87.0,1.0
6.0,56.0,1.0
3.0,73.0,0.0
3.0,95.0,1.0
1.3,52.0,0.0
5.5,94.0,1.0
6.4,98.0,1.0
1.0,50.0,0.0
2.8,80.0,1.0
3.4,53.0,0.0
9.4,80.0,1.0
8.2,75.0,1.0
0.7,90.0,0.0
1.5,86.0,0.0
0.9,65.0,0.0
5.6,76.0,1.0
6.0,89.0,1.0
7.8,74.0,1.0
9.1,69.0,1.0
9.9,69.0,1.0
6.2,89.0,1.0
9.5,63.0,1.0
2.1,92.0,0.0
1.6,61.0,0.0
0.8,50.0,0.0
4.5,88.0,1.0
2.9,64.0,0.0
7.1,94.0,1.0
0.7,64.0,0.0
7.9,90.0,1.0
6.6,62.0,1.0
1.1,64.0,0.0
1.5,67.0,0.0
0.7,60.0,0.0
6.0,86.0,1.0
4.4,79.0,1.0
7.0,67.0,1.0
5.4,78.0,1.0
6.0,77.0,1.0
6.0,51.0,0.0
2.3,93.0,1.0
5.9,51.0,0.0
5.8,98.0,1.0
4.7,91.0,1.0
9.2,61.0,1.0
4.4,81.0,0.0
4.7,76.0,1.0
3.2,56.0,0.0
3.3,94.0,1.0
2.9,75.0,1.0
0.4,55.0,0.0
2.5,57.0,0.0
8.6,50.0,1.0
4.6,53.0,0.0
5.2,89.0,1.0
6.3,98.0,1.0
2.0,85.0,0.0
9.3,78.0,1.0
1.2,90.0,1.0
8.0,95.0,1.0
3.1,50.0,0.0
4.1,64.0,0.0
4.6,57.0,1.0
8.3,81.0,1.0
5.1,67.0,1.0
8.3,80.0,1.0
4.6,59.0,0.0
1.9,88.0,1.0
7.5,58.0,1.0
2.8,100.0,1.0
3.4,100.0,1.0
2.7,50.0,0.0
7.3,87.0,1.0
10.0,81.0,1.0
4.5,80.0,1.0
3.3,98.0,1.0
3.8,70.0,0.0
9.8,65.0,1.0
3.8,99.0,1.0
0.4,97.0,0.0
7.1,74.0,1.0
9.9,100.0,1.0
9.8,81.0,1.0
1.3,87.0,0.0
8.7,78.0,1.0
5.3,79.0,1.0
7.2,76.0,1.0
9.7,54.0,1.0
7.8,66.0,1.0
6.2,75.0,1.0
0.8,71.0,0.0
3.8,70.0,1.0
7.2,98.0,1.0
8.7,52.0,1.0
0.7,90.0,0.0
10.0,97.0,1.0
4.3,56.0,1.0
7.0,56.0,1.0
1.7,69.0,0.0
0.5,100.0,0.0
2.9,73.0,0.0
1.5,83.0,0.0
5.7,100.0,1.0
1.7,55.0,0.0
8.7,89.0,1.0
5.0,87.0,1.0
2.3,90.0,0.0
4.6,92.0,1.0
9.0,79.0,1.0
6.8,60.0,1.0
4.4,72.0,1.0
3.0,77.0,0.0
4.6,69.0,0.0
10.0,80.0,1.0
2.4,86.0,0.0
5.7,94.0,1.0
0.2,92.0,0.0
2.7,86.0,0.0
9.1,97.0,1.0
8.3,68.0,1.0
6.1,72.0,1.0
6.4,89.0,1.0
6.8,96.0,1.0
6.3,90.0,1.0
0.4,100.0,0.0
0.3,73.0,0.0
0.9,68.0,0.0
7.5,61.0,1.0
1.3,84.0,0.0
5.3,67.0,1.0
2.6,80.0,0.0
7.5,71.0,1.0
4.7,54.0,0.0
7.5,64.0,1.0
9.7,85.0,1.0
0.9,75.0,0.0
2.6,57.0,0.0
3.7,97.0,1.0
5.8,90.0,1.0
1.1,64.0,0.0
0.3,85.0,0.0
9.2,64.0,1.0
0.6,79.0,0.0
6.5,57.0,1.0
0.5,52.0,0.0
10.0,57.0,1.0
2.3,84.0,0.0
3.9,73.0,1.0
4.2,97.0,1.0
8.9,91.0,1.0
8.3,89.0,1.0
9.4,67.0,1.0
6.9,63.0,1.0
4.4,65.0,0.0
1.0,93.0,0.0
5.4,91.0,1.0
0.6,67.0,0.0
9.7,79.0,1.0
6.6,91.0,1.0
6.0,51.0,0.0
7.9,65.0,1.0
7.9,63.0,1.0
8.3,85.0,1.0
5.9,64.0,1.0
7.7,100.0,1.0
0.0,59.0,0.0
5.4,61.0,0.0
6.6,51.0,0.0
0.1,100.0,0.0
5.9,51.0,0.0
2.7,58.0,0.0
5.3,97.0,1.0
4.8,99.0,1.0
5.1,56.0,1.0
5.0,89.0,1.0
7.3,92.0,1.0
3.0,91.0,0.0
0.6,80.0,0.0
4.3,56.0,0.0
7.1,78.0,1.0
9.0,70.0,1.0
1.5,58.0,0.0
6.2,87.0,1.0
7.1,74.0,1.0
5.3,79.0,1.0
6.1,56.0,0.0
8.5,91.0,1.0
7.2,63.0,1.0
4.5,64.0,1.0
3.4,79.0,1.0
4.2,56.0,0.0
4.3,92.0,1.0
3.7,59.0,0.0
0.7,55.0,0.0
4.3,97.0,1.0
8.1,85.0,1.0
5.9,85.0,1.0
3.3,57.0,0.0
3.5,92.0,1.0
8.7,96.0,1.0
9.7,88.0,1.0
3.5,86.0,1.0
2.1,92.0,1.0
2.2,56.0,0.0
8.5,73.0,1.0
7.6,86.0,1.0
8.1,85.0,1.0
6.1,91.0,1.0
0.3,92.0,0.0
0.3,67.0,0.0
9.2,72.0,1.0
1.8,59.0,0.0
6.6,54.0,1.0
7.4,51.0,1.0
7.5,63.0,1.0
4.2,71.0,0.0
3.7,96.0,1.0
7.8,86.0,1.0
0.8,53.0,0.0
1.6,89.0,0.0
6.7,67.0,1.0
6.6,81.0,1.0
4.4,67.0,0.0
7.5,57.0,1.0
4.3,68.0,1.0
4.9,92.0,1.0
0.5,75.0,0.0
0.5,63.0,0.0
9.5,99.0,1.0
7.6,68.0,1.0
1.2,81.0,0.0
1.8,74.0,0.0
7.0,82.0,1.0
8.3,72.0,1.0
4.0,97.0,1.0
4.4,79.0,0.0
8.6,86.0,1.0
5.7,95.0,1.0
4.2,57.0,0.0
0.2,70.0,0.0
8.0,89.0,1.0
8.3,73.0,1.0
4.4,56.0,0.0
4.4,75.0,1.0
0.8,69.0,0.0
2.2,99.0,0.0
0.8,90.0,0.0
5.3,62.0,1.0
3.5,91.0,1.0
2.4,59.0,0.0
2.0,88.0,0.0
7.6,91.0,1.0
1.8,99.0,1.0
4.9,98.0,1.0
7.6,78.0,1.0
6.4,89.0,1.0
8.6,90.0,1.0
1.5,54.0,0.0
4.4,69.0,0.0
5.9,72.0,1.0
0.7,79.0,0.0
0.4,73.0,0.0
0.8,55.0,0.0
5.9,74.0,1.0
5.8,100.0,1.0
4.5,86.0,1.0
1.9,88.0,1.0
5.0,53.0,1.0
1.0,71.0,0.0
5.0,61.0,0.0
2.5,78.0,0.0
5.2,89.0,1.0
3.6,68.0,0.0
4.1,71.0,1.0
0.5,90.0,0.0
3.3,71.0,0.0
5.6,74.0,1.0
2.5,92.0,1.0
8.7,71.0,1.0
5.8,59.0,1.0
3.1,91.0,1.0
1.3,95.0,0.0
3.1,74.0,1.0
7.9,58.0,1.0
0.9,92.0,0.0
5.1,51.0,0.0
3.1,63.0,0.0
9.5,81.0,1.0
2.3,58.0,0.0
0.8,100.0,0.0
5.1,84.0,1.0
0.4,71.0,0.0
1.3,74.0,0.0
1.6,94.0,1.0
8.1,60.0,1.0
0.4,73.0,0.0
9.7,89.0,1.0
7.5,100.0,1.0
2.3,65.0,0.0
9.7,100.0,1.0
9.0,62.0,1.0
6.8,86.0,1.0
4.6,68.0,1.0
5.0,76.0,1.0
8.2,88.0,1.0
8.7,53.0,1.0
4.8,73.0,1.0
9.3,95.0,1.0
8.5,68.0,1.0
7.6,67.0,1.0
9.1,59.0,1.0
0.9,64.0,0.0
8.8,51.0,1.0
0.5,82.0,0.0
2.4,55.0,0.0
2.2,70.0,0.0
8.4,91.0,1.0
7.9,58.0,1.0
2.9,80.0,0.0
7.6,80.0,1.0
6.2,55.0,0.0
2.6,59.0,0.0
9.4,88.0,1.0
4.2,99.0,1.0
2.4,57.0,0.0
2.4,90.0,1.0
4.6,57.0,1.0
6.0,51.0,1.0
5.2,65.0,0.0
2.9,50.0,0.0
3.5,86.0,1.0
1.9,92.0,0.0
5.2,73.0,0.0
9.5,84.0,1.0
7.9,82.0,1.0
0.2,80.0,0.0
6.4,73.0,1.0
7.5,72.0,1.0
3.4,96.0,1.0
1.0,87.0,0.0
1.3,72.0,0.0
3.4,91.0,1.0
8.3,93.0,1.0
9.8,80.0,1.0
1.8,58.0,0.0
7.2,79.0,1.0
2.9,52.0,0.0
8.9,70.0,1.0
5.2,84.0,1.0
2.5,98.0,1.0
1.9,72.0,0.0
8.7,71.0,1.0
1.2,73.0,0.0
8.9,97.0,1.0
8.9,74.0,1.0
9.7,81.0,1.0
3.7,83.0,1.0
8.0,96.0,1.0
0.8,88.0,0.0
5.5,70.0,1.0
0.8,92.0,0.0
3.1,88.0,1.0
1.7,78.0,0.0
4.5,96.0,1.0
6.1,77.0,1.0
6.4,100.0,1.0
0.8,90.0,0.0
3.6,97.0,1.0
9.5,59.0,1.0
6.8,78.0,1.0
1.3,65.0,0.0
3.7,74.0,1.0
0.3,59.0,0.0
9.5,73.0,1.0
7.6,86.0,1.0
5.3,75.0,1.0
6.5,65.0,1.0
0.3,61.0,0.0
5.2,85.0,1.0
2.6,66.0,0.0
2.1,89.0,0.0
6.9,81.0,1.0
1.2,54.0,0.0
1.7,95.0,1.0
10.0,93.0,1.0
6.7,95.0,1.0
5.5,68.0,1.0
8.5,95.0,1.0
1.7,73.0,0.0
2.2,62.0,0.0
2.4,81.0,0.0
3.6,86.0,1.0
4.7,85.0,1.0
6.1,55.0,0.0
3.1,95.0,1.0
5.3,99.0,1.0
8.2,54.0,1.0
9.7,91.0,1.0
4.5,93.0,1.0
3.4,99.0,1.0
6.4,61.0,1.0
4.3,53.0,0.0
5.2,69.0,1.0
1.6,95.0,0.0
3.5,83.0,1.0
8.5,66.0,1.0
6.4,85.0,1.0
1.3,69.0,0.0
5.3,82.0,1.0
1.7,87.0,0.0
1.7,89.0,1.0
3.4,86.0,0.0
8.3,51.0,1.0
0.5,91.0,0.0
2.6,63.0,0.0
4.2,90.0,1.0
5.0,90.0,1.0
2.9,69.0,0.0
2.4,93.0,1.0
3.0,54.0,0.0
1.6,76.0,0.0
4.6,71.0,1.0
1.4,95.0,0.0
7.3,72.0,1.0
1.3,73.0,0.0
5.6,70.0,1.0
4.7,67.0,1.0
2.5,56.0,0.0
2.9,74.0,1.0
4.2,60.0,0.0
9.3,96.0,1.0
1.9,60.0,0.0
10.0,79.0,1.0
8.8,81.0,1.0
0.9,75.0,0.0
4.6,65.0,0.0
5.8,53.0,0.0
2.8,88.0,1.0
6.7,68.0,1.0
0.1,56.0,0.0
1.3,66.0,0.0
7.6,73.0,1.0
4.0,86.0,1.0
1.9,85.0,0.0
0.7,82.0,0.0
7.6,67.0,1.0
6.8,57.0,1.0
9.8,75.0,1.0
7.9,71.0,1.0
9.4,98.0,1.0
2.0,82.0,0.0
5.0,52.0,0.0
1.4,71.0,0.0
5.2,59.0,1.0
8.9,58.0,1.0
9.3,70.0,1.0
3.9,89.0,1.0
5.9,82.0,1.0
5.3,95.0,1.0
3.0,51.0,0.0
3.3,57.0,0.0
5.8,100.0,1.0
0.3,80.0,0.0
9.7,100.0,1.0
5.8,96.0,1.0
5.8,60.0,1.0
6.3,89.0,1.0
1.5,93.0,0.0
0.3,94.0,0.0
1.9,78.0,0.0
4.2,76.0,0.0
4.1,99.0,1.0
9.2,97.0,1.0
7.1,83.0,1.0
5.6,92.0,1.0
5.3,70.0,1.0
4.6,84.0,1.0
5.5,93.0,1.0
8.0,66.0,1.0
4.8,65.0,0.0
5.6,64.0,1.0
7.7,95.0,1.0
6.9,81.0,1.0
4.8,85.0,1.0
2.9,86.0,1.0
3.8,75.0,1.0
9.5,59.0,1.0
0.4,95.0,0.0
3.5,78.0,1.0
2.6,80.0,0.0
2.0,84.0,0.0
9.3,94.0,1.0
1.4,89.0,1.0
2.4,53.0,0.0
2.3,64.0,0.0
1.0,71.0,0.0
1.0,99.0,0.0
0.1,85.0,0.0
4.1,80.0,1.0
6.5,98.0,1.0
3.2,91.0,0.0
9.1,55.0,1.0
5.7,84.0,1.0
9.1,61.0,1.0
8.8,61.0,1.0
10.0,75.0,1.0
1.9,97.0,0.0
8.8,50.0,1.0
5.7,56.0,1.0
2.8,91.0,1.0
5.2,58.0,1.0
4.7,62.0,0.0
3.3,96.0,1.0
6.5,95.0,1.0
0.1,71.0,0.0
5.7,98.0,1.0
1.8,90.0,0.0
8.3,82.0,1.0
0.9,92.0,0.0
1.8,58.0,0.0
3.2,65.0,0.0
2.6,65.0,0.0
7.5,71.0,1.0
5.8,86.0,1.0
2.6,73.0,0.0
0.6,57.0,0.0
3.1,75.0,1.0
9.2,95.0,1.0
6.9,90.0,1.0
3.7,64.0,0.0
9.6,80.0,1.0
4.5,88.0,1.0
4.2,85.0,1.0
7.6,92.0,1.0
7.6,93.0,1.0
8.7,55.0,1.0
4.5,95.0,1.0
0.8,86.0,0.0
0.6,85.0,0.0
2.0,84.0,0.0
1.6,83.0,0.0
1.2,63.0,0.0
4.9,82.0,1.0
8.1,79.0,1.0
5.1,79.0,1.0
0.6,79.0,0.0
7.2,75.0,1.0
8.2,97.0,1.0
5.8,52.0,1.0
3.4,54.0,0.0
9.9,54.0,1.0
0.3,76.0,0.0
7.7,99.0,1.0
9.8,91.0,1.0
3.7,74.0,1.0
8.7,74.0,1.0
0.8,92.0,0.0
1.3,72.0,0.0
1.8,84.0,0.0
5.3,96.0,1.0
8.3,98.0,1.0
9.8,79.0,1.0
4.2,74.0,0.0
2.5,72.0,0.0
2.8,96.0,0.0
0.3,92.0,0.0
6.1,51.0,0.0
2.1,56.0,0.0
0.3,88.0,0.0
2.4,52.0,0.0
4.4,84.0,1.0
7.5,99.0,1.0
1.4,68.0,0.0
8.2,96.0,1.0
3.2,88.0,1.0
2.4,59.0,0.0
2.2,69.0,0.0
0.6,87.0,0.0
6.3,77.0,1.0
5.0,72.0,1.0
6.7,100.0,1.0
3.2,76.0,1.0
1.5,74.0,0.0
7.5,80.0,1.0
8.5,69.0,1.0
8.1,53.0,1.0
4.1,76.0,1.0
5.3,74.0,1.0
2.5,71.0,1.0
0.8,78.0,0.0
0.9,96.0,0.0
0.5,74.0,0.0
6.0,54.0,0.0
8.0,87.0,1.0
2.2,63.0,0.0
3.0,50.0,0.0
9.4,97.0,1.0
7.5,98.0,1.0
9.1,94.0,1.0
7.0,75.0,1.0
5.5,99.0,1.0
3.8,84.0,1.0
3.6,66.0,0.0
5.1,81.0,1.0
1.0,96.0,0.0
7.6,70.0,1.0
3.7,76.0,0.0
5.6,64.0,0.0
0.2,85.0,0.0
5.8,76.0,1.0
1.5,71.0,0.0
3.8,65.0,1.0
5.5,93.0,1.0
2.6,81.0,1.0
7.4,79.0,1.0
7.3,72.0,1.0
1.4,84.0,0.0
1.8,84.0,1.0
9.6,83.0,1.0
8.4,54.0,1.0
7.6,76.0,1.0
8.4,64.0,1.0
7.1,50.0,1.0
5.1,73.0,0.0
6.2,92.0,1.0
9.1,92.0,1.0
0.2,84.0,0.0
4.1,51.0,0.0
7.2,84.0,1.0
0.2,94.0,0.0
8.1,61.0,1.0
9.2,83.0,1.0
2.4,89.0,1.0
2.5,72.0,0.0
7.9,55.0,1.0
9.6,79.0,1.0
2.4,94.0,0.0
3.0,55.0,0.0
9.9,91.0,1.0
0.9,74.0,0.0
5.5,53.0,1.0
0.1,60.0,0.0
5.0,77.0,1.0
7.8,86.0,1.0
8.9,52.0,1.0
2.1,94.0,1.0
4.8,52.0,0.0
6.8,67.0,1.0
5.6,52.0,0.0
9.3,70.0,1.0
9.6,87.0,1.0
7.5,95.0,1.0
9.3,69.0,1.0
5.6,86.0,1.0
6.8,84.0,1.0
3.8,97.0,1.0
7.9,94.0,1.0
5.0,72.0,0.0
1.0,64.0,0.0
3.4,99.0,1.0
9.5,75.0,1.0
0.3,67.0,0.0
4.9,72.0,1.0
9.4,77.0,1.0
6.8,92.0,1.0
0.9,89.0,0.0
8.0,95.0,1.0
0.8,59.0,0.0
7.1,90.0,1.0
7.4,70.0,1.0
1.1,50.0,0.0
4.4,98.0,1.0
1.0,55.0,0.0
4.3,85.0,1.0
5.1,56.0,0.0
0.9,85.0,0.0
6.0,100.0,1.0
8.6,50.0,1.0
4.1,99.0,1.0
7.2,85.0,1.0
5.7,60.0,1.0
1.7,67.0,0.0
2.7,59.0,0.0
1.7,67.0,0.0
3.0,100.0,1.0
3.6,65.0,1.0
5.0,89.0,1.0
4.6,58.0,0.0
0.1,75.0,0.0
8.4,74.0,1.0
4.4,77.0,1.0
9.7,58.0,1.0
3.2,94.0,1.0
4.8,61.0,1.0
9.7,68.0,1.0
4.9,86.0,1.0
3.3,67.0,0.0
3.7,86.0,1.0
5.9,84.0,1.0
6.8,85.0,1.0
9.5,79.0,1.0
4.4,68.0,0.0
8.2,100.0,1.0
6.7,58.0,1.0
3.0,66.0,0.0
7.2,100.0,1.0
0.7,88.0,0.0
5.8,84.0,1.0
9.2,94.0,1.0
5.4,100.0,1.0
7.0,84.0,1.0
6.4,55.0,0.0
7.7,92.0,1.0
1.7,89.0,0.0
5.6,91.0,1.0
4.0,98.0,1.0
9.7,77.0,1.0
0.1,66.0,0.0
5.1,83.0,1.0
5.8,86.0,1.0
4.5,75.0,1.0
7.7,87.0,1.0
1.5,51.0,0.0
1.0,76.0,0.0
1.2,96.0,0.0
3.5,71.0,1.0
7.8,83.0,1.0
3.5,56.0,0.0
7.2,78.0,1.0
0.7,52.0,0.0
0.2,71.0,0.0
1.1,60.0,0.0
5.2,85.0,1.0
3.3,77.0,1.0
2.3,75.0,1.0
1.8,90.0,0.0
4.0,97.0,1.0
8.8,78.0,1.0
4.3,50.0,0.0
2.1,98.0,0.0
5.8,84.0,1.0
3.7,62.0,0.0
1.1,92.0,0.0
5.3,90.0,1.0
6.0,89.0,1.0
5.9,72.0,1.0
8.5,89.0,1.0
8.1,95.0,1.0
9.2,87.0,1.0
6.7,70.0,1.0
2.4,57.0,0.0
3.7,59.0,0.0
3.9,88.0,1.0
5.7,77.0,1.0
4.9,84.0,1.0
9.3,61.0,1.0
1.7,68.0,0.0
1.9,78.0,0.0
0.5,72.0,0.0
4.8,62.0,1.0
9.6,82.0,1.0
4.9,93.0,1.0
4.2,78.0,1.0
1.7,86.0,0.0
8.0,64.0,1.0
0.3,64.0,0.0
2.9,99.0,1.0
5.7,99.0,1.0
5.5,57.0,1.0
1.1,99.0,1.0
8.2,73.0,1.0
8.2,52.0,1.0
5.5,77.0,1.0
7.4,91.0,1.0
3.0,52.0,0.0
2.6,55.0,0.0
8.7,57.0,1.0
2.1,97.0,1.0
6.9,95.0,1.0
6.3,60.0,1.0
1.4,63.0,0.0
8.1,86.0,1.0
5.3,88.0,1.0
1.7,95.0,0.0
2.9,67.0,0.0
9.9,93.0,1.0
1.4,98.0,1.0
9.2,67.0,1.0
1.3,58.0,0.0
1.5,70.0,0.0
7.6,93.0,1.0
4.9,86.0,1.0
2.7,76.0,0.0
4.5,90.0,1.0
4.0,97.0,1.0
6.9,73.0,1.0
9.5,70.0,1.0
0.0,99.0,0.0
7.3,79.0,1.0
6.6,72.0,1.0
8.0,75.0,1.0
9.7,63.0,1.0
2.7,68.0,0.0
5.5,58.0,1.0
8.5,100.0,1.0
8.9,98.0,1.0
0.5,90.0,0.0
0.2,60.0,0.0
4.6,77.0,1.0
10.0,58.0,1.0
3.0,67.0,0.0
6.5,66.0,1.0
3.7,91.0,1.0
0.5,90.0,0.0
7.3,98.0,1.0
4.3,55.0,0.0
0.0,80.0,0.0
1.3,64.0,0.0
6.8,50.0,0.0
7.0,57.0,1.0
6.9,80.0,1.0
2.3,55.0,0.0
1.0,73.0,0.0
1.4,99.0,0.0
6.4,93.0,1.0
0.7,86.0,0.0
6.1,60.0,1.0
3.5,63.0,1.0
7.5,76.0,1.0
6.9,63.0,1.0
9.0,58.0,1.0
5.9,74.0,1.0
9.6,70.0,1.0
2.5,91.0,0.0
2.5,88.0,1.0
7.2,68.0,1.0
8.5,92.0,1.0
2.1,88.0,1.0
1.9,75.0,0.0
6.5,100.0,1.0
4.9,57.0,0.0
5.0,88.0,1.0
5.3,50.0,0.0
9.3,58.0,1.0
8.6,86.0,1.0
3.7,93.0,1.0
7.6,99.0,1.0
0.2,54.0,0.0
2.6,52.0,0.0
9.5,75.0,1.0
2.9,95.0,1.0
7.7,77.0,1.0
0.8,84.0,0.0
6.2,67.0,1.0
3.1,82.0,0.0
9.7,59.0,1.0
3.3,87.0,1.0
7.6,91.0,1.0
0.7,94.0,0.0
7.3,65.0,1.0
2.4,77.0,0.0
4.5,88.0,1.0
3.1,97.0,1.0
1.2,95.0,0.0
7.0,60.0,1.0
9.5,83.0,1.0
7.8,96.0,1.0
1.7,58.0,0.0
7.3,57.0,1.0
3.4,77.0,0.0
5.2,66.0,1.0
6.3,81.0,1.0
5.1,53.0,1.0
8.6,60.0,1.0
1.6,99.0,0.0
8.9,93.0,1.0
2.3,82.0,0.0
0.4,50.0,0.0
0.5,73.0,0.0
9.2,61.0,1.0
5.5,95.0,1.0
4.2,70.0,0.0
4.2,96.0,1.0
2.7,54.0,0.0
3.7,82.0,0.0
1.8,83.0,0.0
9.5,54.0,1.0
8.7,99.0,1.0
3.3,85.0,1.0
0.1,62.0,0.0
5.6,69.0,1.0
2.4,73.0,0.0
9.7,99.0,1.0
